$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90,
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 16
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 17
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 18
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 19
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 20
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 21
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 22
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 23
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 24
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 25
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 26
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 27
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 28
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 29
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 30
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 31
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 32
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 33
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 34
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 35
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 36
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 37
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 38
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 39
   0.400,     0.000,  2669.880,  2247.910,  1458.850,  1722.490,  1750.510,  2030.030,  2343.380,  2116.630,  1996.800,  1973.820,  2039.680,  1659.690,  1709.060,  1987.130,  1525.930,  1330.810,  1742.140,  1806.320,  1668.390,  1711.670,  1605.310,  1835.150,  1765.350,  1825.480,  1980.090,  1762.150,  1633.150,  1620.720,  2129.460,  2317.120,  2148.010,  2075.460,  1914.320,  1978.260,  1705.920,  1986.440,  2000.990,  1857.160,  1935.250,  1748.500,  1996.720,  2009.140,  1940.450,  1953.200,  1913.270,  1746.710,  1979.120,  2060.700,  1936.650,  1627.490,     0.000,     0.000,  1280.170,   919.020,   735.520,  2110.190,  2287.660,  2239.110,  1676.400,  1681.890,  1816.710,  2259.920,  2485.950,  2373.170,  2051.830,  1865.990,  1762.960,  1612.700,  1669.270,  1644.400,  1833.070,  2136.950,  2381.710,  2581.680,  2544.830,  2570.200,  2478.490,  2771.550,  2776.220,  2530.450,  2321.180,  2318.040,  2049.780,  1747.720,  1401.780,  1271.320,  1184.150,  1030.220,     0.000, 40
